3	17
123	18
552	19
1218	20
1555	21
2217	22
3892	23
4390	24
4335	25
4120	26
4266	27
4430	28
4919	29
5414	30
5924	31
6195	32
6452	33
6611	34
6709	35
6582	36
6598	37
6305	38
6295	39
5780	40
5600	41
5836	42
5655	43
5300	44
5024	45
4813	46
4529	47
4358	48
4286	49
3834	50
3509	51
3466	52
3215	53
2932	54
2751	55
2646	56
2424	57
2353	58
2184	59
1969	60
1853	61
1732	62
1559	63
1761	64
1607	65
1500	66
1442	67
1367	68
1233	69
1123	70
1059	71
1018	72
929	73
852	74
794	75
772	76
716	77
632	78
587	79
548	80
556	81
442	82
434	83
405	84
428	85
323	86
338	87
300	88
295	89
313	90
254	91
249	92
207	93
191	94
190	95
188	96
150	97
146	98
149	99
118	100
118	101
110	102
106	103
91	104
90	105
75	106
83	107
75	108
65	109
54	110
45	111
56	112
42	113
40	114
47	115
35	116
21	117
37	118
30	119
19	120
31	121
20	122
23	123
23	124
21	125
14	126
12	127
11	128
14	129
11	130
9	131
12	132
9	133
4	134
6	135
6	136
6	137
4	138
6	139
5	140
2	141
